name,force,level,mechanic,equipment,primaryMuscles__-,secondaryMuscles__001,secondaryMuscles__002,secondaryMuscles__003,secondaryMuscles__004,secondaryMuscles__005,secondaryMuscles__006,secondaryMuscles__007,secondaryMuscles__008,secondaryMuscles__009,secondaryMuscles__010,instructions,category
Platform Hamstring Slides,pull,beginner,isolation,other,hamstrings,glutes,None,None,None,None,None,None,None,None,None,For this movement a wooden floor or similar is needed. Lay on your back with your legs extended. Place a gym towel or a light weight underneath your heel. This will be your starting position.,strength
Plie Dumbbell Squat,push,beginner,compound,dumbbell,quadriceps,abdominals,calves,glutes,hamstrings,None,None,None,None,None,None,Hold a dumbbell at the base with both hands and stand straight up. Move your legs so that they are wider than shoulder width apart from each other with your knees slightly bent.,strength
Plyo Kettlebell Pushups,push,expert,compound,kettlebells,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Place a kettlebell on the floor. Place yourself in a pushup position, on your toes with one hand on the ground and one hand holding the kettlebell, with your elbows extended. This will be your starting position.",strength
Plyo Push-up,push,beginner,compound,body only,chest,shoulders,triceps,None,None,None,None,None,None,None,None,"Move into a prone position on the floor, supporting your weight on your hands and toes.",plyometrics
Posterior Tibialis Stretch,static,intermediate,None,other,calves,None,None,None,None,None,None,None,None,None,None,"In a seated position, loop a belt, rope, or band around one foot. This will be your starting position.",stretching
Power Clean,pull,intermediate,compound,barbell,hamstrings,calves,forearms,glutes,lower back,middle back,quadriceps,shoulders,traps,triceps,None,Stand with your feet slightly wider than shoulder width apart and toes pointing out slightly.,strength
Power Clean from Blocks,pull,intermediate,compound,barbell,hamstrings,quadriceps,None,None,None,None,None,None,None,None,None,"With a barbell on boxes of the desired height, take a grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.",olympic weightlifting
Power Jerk,push,expert,compound,barbell,quadriceps,abdominals,calves,glutes,hamstrings,shoulders,triceps,None,None,None,None,"Standing with the weight racked on the front of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible.",olympic weightlifting
Power Partials,push,beginner,isolation,dumbbell,shoulders,None,None,None,None,None,None,None,None,None,None,Stand up with your torso upright and a dumbbell on each hand being held at arms length. The elbows should be close to the torso.,strength
Power Snatch,pull,expert,compound,barbell,hamstrings,calves,glutes,lower back,quadriceps,shoulders,traps,triceps,None,None,None,"Begin with a loaded barbell on the floor. The bar should be close to or touching the shins, and a wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar. This will be the starting position.",olympic weightlifting
Power Snatch from Blocks,pull,intermediate,compound,barbell,quadriceps,calves,forearms,glutes,hamstrings,lower back,shoulders,traps,triceps,None,None,"Begin with a loaded barbell on boxes or stands of the desired height. A wide grip should be taken on the bar. The feet should be directly below the hips, with the feet turned out as needed. Lower the hips, with the chest up and the head looking forward. The shoulders should be just in front of the bar, with the elbows pointed out. This will be the starting position.",olympic weightlifting
Power Stairs,pull,intermediate,compound,other,hamstrings,adductors,calves,glutes,lower back,quadriceps,shoulders,traps,None,None,None,"In the power stairs, implements are moved up a staircase. For training purposes, these can be performed with a tire or box.",strongman
Preacher Curl,pull,beginner,isolation,barbell,biceps,None,None,None,None,None,None,None,None,None,None,To perform this movement you will need a preacher bench and an E-Z bar. Grab the E-Z curl bar at the close inner handle (either have someone hand you the bar which is preferable or grab the bar from the front bar rest provided by most preacher benches). The palm of your hands should be facing forward and they should be slightly tilted inwards due to the shape of the bar.,strength
Preacher Hammer Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,forearms,None,None,None,None,None,None,None,None,None,Place the upper part of both arms on top of the preacher bench as you hold a dumbbell in each hand with the palms facing each other (neutral grip).,strength
Press Sit-Up,push,expert,compound,barbell,abdominals,chest,shoulders,triceps,None,None,None,None,None,None,None,"To begin, lie down on a bench with a barbell resting on your chest. Position your legs so they are secure on the extension of the abdominal bench. This is the starting position.",strength
Prone Manual Hamstring,static,beginner,isolation,None,hamstrings,None,None,None,None,None,None,None,None,None,None,You will need a partner for this exercise. Lay face down with your legs straight. Your assistant will place their hand on your heel.,strength
Prowler Sprint,push,beginner,compound,other,hamstrings,calves,chest,glutes,quadriceps,shoulders,None,None,None,None,None,"Place your sled on an appropriate surface, loaded to a suitable weight. The sled should provide enough resistance to require effort, but not so heavy that you are significantly slowed down.",cardio
Pull Through,pull,beginner,compound,cable,glutes,hamstrings,lower back,None,None,None,None,None,None,None,None,"Begin standing a few feet in front of a low pulley with a rope or handle attached. Face away from the machine, straddling the cable, with your feet set wide apart.",strength
Pullups,pull,beginner,compound,body only,lats,biceps,middle back,None,None,None,None,None,None,None,None,"Grab the pull-up bar with the palms facing forward using the prescribed grip. Note on grips: For a wide grip, your hands need to be spaced out at a distance wider than your shoulder width. For a medium grip, your hands need to be spaced out at a distance equal to your shoulder width and for a close grip at a distance smaller than your shoulder width.",strength
Push-Up Wide,None,beginner,compound,body only,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,"With your hands wide apart, support your body on your toes and hands in a plank position. Your elbows should be extended and your body straight. Do not allow your hips to sag. This will be your starting position.",strength
Push-Ups - Close Triceps Position,push,intermediate,compound,body only,triceps,chest,shoulders,None,None,None,None,None,None,None,None,Lie on the floor face down and place your hands closer than shoulder width for a close hand position. Make sure that you are holding your torso up at arms' length.,strength
Push-Ups With Feet Elevated,push,beginner,compound,body only,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie on the floor face down and place your hands about 36 inches apart from each other holding your torso up at arms length.,strength
Push-Ups With Feet On An Exercise Ball,push,intermediate,compound,exercise ball,chest,shoulders,triceps,None,None,None,None,None,None,None,None,Lie on the floor face down and place your hands about 36 inches apart from each other holding your torso up at arms length.,strength
Push Press,push,expert,compound,barbell,shoulders,quadriceps,triceps,None,None,None,None,None,None,None,None,None,olympic weightlifting
Push Press - Behind the Neck,push,intermediate,compound,barbell,shoulders,calves,quadriceps,triceps,None,None,None,None,None,None,None,"Standing with the weight racked on the back of the shoulders, begin with the dip. With your feet directly under your hips, flex the knees without moving the hips backward. Go down only slightly, and reverse direction as powerfully as possible. Drive through the heels create as much speed and force as possible, moving the bar in a vertical path.",olympic weightlifting
Push Up to Side Plank,push,beginner,compound,body only,chest,abdominals,shoulders,triceps,None,None,None,None,None,None,None,Get into pushup position on the toes with your hands just outside of shoulder width.,strength
